Nth, string addition, bignum fast doubling 
318 ,560340,5795
319 ,562098,5738
320 ,563872,5629
321 ,567463,5681
322 ,567348,5652
323 ,569107,5752
324 ,570754,5727
325 ,572609,5676
326 ,574330,5665
327 ,580577,5709
328 ,578251,5702
329 ,579559,5725
330 ,581200,5700
331 ,583059,5738
332 ,584804,5781
333 ,586419,7196
334 ,590608,5791
335 ,590001,5809
336 ,591538,5751
337 ,593361,5778
338 ,595061,5769
339 ,596811,5761
340 ,611926,5762
341 ,611120,5761
342 ,610339,5834
343 ,612167,5809
344 ,613486,5770
345 ,615900,5820
346 ,618389,5835
347 ,621002,5825
348 ,620474,5846
349 ,621922,7153
350 ,623766,5844
351 ,625518,5871
352 ,627270,5815
353 ,628715,5892
354 ,632942,5801
355 ,632405,5836
356 ,634148,5818
357 ,635880,5867
358 ,637531,5828
359 ,639251,5845
360 ,643240,5845
361 ,642877,5851
362 ,644540,5881
363 ,646242,8078
364 ,648085,5892
365 ,649756,7311
366 ,653787,5978
367 ,653328,5969
368 ,654891,5950
369 ,656695,5958
370 ,658402,6167
371 ,660102,6456
372 ,663927,6297
373 ,663646,6185
374 ,665456,6481
375 ,667274,6395
376 ,669195,6490
377 ,671442,6276
378 ,675172,6360
379 ,674107,6291
380 ,675951,6388
381 ,677715,7772
382 ,679186,6322
383 ,680948,6284
384 ,684663,6264
385 ,684475,6286
386 ,686156,6329
387 ,687912,6339
388 ,689728,6283
389 ,693643,6202
390 ,693250,6289
391 ,694843,6290
392 ,696642,6283
393 ,698281,6241
394 ,700185,6296
395 ,704363,6319
396 ,704525,6348
397 ,705519,7828
398 ,706960,6405
399 ,708764,6265
400 ,710479,6367
401 ,714499,6334
402 ,714063,6375
403 ,715641,6311
404 ,717321,6368
405 ,719177,6407
406 ,723066,6337
407 ,722730,6383
408 ,724496,6323
409 ,726095,6356
410 ,727943,6403
411 ,729570,6373
412 ,733481,6363
413 ,732988,8034
414 ,734742,6484
415 ,736608,6484
416 ,738256,6372
417 ,742048,6509
418 ,741861,6424
419 ,743775,6383
420 ,746167,6388
421 ,748100,6370
422 ,752731,6375
423 ,750422,6441
424 ,752149,6371
425 ,753996,6425
426 ,755618,6444
427 ,757351,6397
428 ,761098,6466
429 ,761046,7903
430 ,762602,6572
431 ,764370,6441
432 ,765955,6429
433 ,769884,6434
434 ,769703,6454
435 ,771337,6378
436 ,772976,6408
437 ,774658,6409
438 ,778456,6506
439 ,778423,6444
440 ,780661,6474
441 ,782726,6367
442 ,783643,6492
443 ,787659,6484
444 ,786960,6508
445 ,788586,8029
446 ,790384,6506
447 ,792059,6545
448 ,800627,6447
449 ,795967,6442
450 ,797300,6453
451 ,799096,6456
452 ,800784,6612
453 ,805804,6512
454 ,804449,6482
455 ,806008,6432
456 ,807688,6450
457 ,809534,6465
458 ,815816,6679
459 ,813743,6590
460 ,815748,6532
461 ,818269,8041
462 ,818583,6736
463 ,822915,6824
464 ,821811,6680
465 ,823599,6677
466 ,825308,6790
467 ,829148,6662
468 ,828786,6716
469 ,830289,6726
470 ,832108,6808
471 ,833708,6743
472 ,838187,6710
473 ,837380,6700
474 ,838973,6790
475 ,840674,6745
476 ,842594,6751
477 ,846389,8211
478 ,845984,6824
479 ,847731,6721
480 ,849506,6701
481 ,851306,6729
482 ,854862,6729
483 ,854716,6759
484 ,856439,6805
485 ,858306,6785
486 ,862186,6816
487 ,861814,7210
488 ,863567,6814
489 ,865009,6712
490 ,866886,6803
491 ,870887,6838
492 ,870340,6817
493 ,872176,8503
494 ,873792,6786
495 ,877882,6839
496 ,878319,6792
497 ,879804,6797
498 ,881307,6804
499 ,883699,6794
500 ,887324,6828
501 ,886025,6912
502 ,887802,6866
503 ,889419,6825
504 ,893859,6857
505 ,893118,6845
506 ,894447,6883
507 ,896375,6838
508 ,898069,6873
509 ,902091,8314
510 ,901440,6915
511 ,903231,6915
512 ,905123,7010
513 ,908940,7004
514 ,908798,6994
515 ,910293,6983
516 ,912021,7003
517 ,915854,7048
518 ,915573,6951
519 ,917219,7087
520 ,919067,6992
521 ,920854,7002
522 ,924449,7073
523 ,924215,7005
524 ,925859,7064
525 ,927665,8537
526 ,931470,7092
527 ,931057,7067
